SYMBOL,IB,NAME
NIFTY50,NIFTY50,NIFTY 50 INDEX
BANKNIFTY,BANKNIFTY,BANK NIFTY INDEX
RELIANCE,RELIANCE,RELIANCE INDUSTRIES LIMITED
TCS,TCS,TATA CONSULTANCY SERVICES LIMITED
HDFCBANK,HDFCBANK,HDFC BANK LIMITED
BHARTIARTL,BHARTIART,BHARTI AIRTEL LIMITED
ICICIBANK,ICICIBANK,ICICI BANK LIMITED
INFY,INFY,INFOSYS LIMITED
SBIN,SBIN,STATE BANK OF INDIA
LICI,LICI,LIFE INSURANCE CORPORATION OF INDIA
HINDUNILVR,HINDUNILV,HINDUSTAN UNILEVER LIMITED
ITC,ITC,ITC LIMITED
LT,LT,LARSEN & TOUBRO LIMITED
HCLTECH,HCLTECH,HCL TECHNOLOGIES LIMITED
BAJFINANCE,BAJFINANC,BAJAJ FINANCE LIMITED
SUNPHARMA,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED
NTPC,NTPC,NTPC LIMITED
MARUTI,MARUTI,MARUTI SUZUKI INDIA LIMITED
AXISBANK,AXISBANK,AXIS BANK LIMITED
ONGC,ONGC,OIL & NATURAL GAS CORPORATION LIMITED
M&M,MM,MAHINDRA & MAHINDRA LIMITED
KOTAKBANK,KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
TATAMOTORS,TMPV,TATA MOTORS LIMITED
ADANIENT,ADANIENT,ADANI ENTERPRISES LIMITED
ULTRACEMCO,ULTRACEMC,ULTRATECH CEMENT LIMITED
POWERGRID,POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED
HAL,HAL,HINDUSTAN AERONAUTICS LIMITED
TITAN,TITAN,TITAN COMPANY LIMITED
ADANIPORTS,ADANIPORT,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
DMART,DMART,AVENUE SUPERMARTS LIMITED
COALINDIA,COALINDIA,COAL INDIA LIMITED
WIPRO,WIPRO,WIPRO LIMITED
BAJAJ-AUTO,BAJAJ-AUT,BAJAJ AUTO LIMITED
ASIANPAINT,ASIANPAIN,ASIAN PAINTS LIMITED
BAJAJFINSV,BAJAJFINS,BAJAJ FINSERV LIMITED
ADANIGREEN,ADANIGREE,ADANI GREEN ENERGY LIMITED
SIEMENS,SIEMENS,SIEMENS LIMITED
TRENT,TRENT,TRENT LIMITED
NESTLEIND,NESTLEIND,NESTLE INDIA LIMITED
JSWSTEEL,JSWSTEEL,JSW STEEL LIMITED
HINDZINC,HINDZINC,HINDUSTAN ZINC LIMITED
IOC,IOC,INDIAN OIL CORPORATION LIMITED
BEL,BEL,BHARAT ELECTRONICS LIMITED
IRFC,IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED
JIOFIN,JIOFIN,JIO FINANCIAL SERVICES LIMITED
DLF,DLF,DLF LIMITED
VBL,VBL,VARUN BEVERAGES LIMITED
TATASTEEL,TATASTEEL,TATA STEEL LIMITED
VEDL,VEDL,VEDANTA LIMITED
LTIM,LTIM,LTIMINDTREE LIMITED
GRASIM,GRASIM,GRASIM INDUSTRIES LIMITED
INDIGO,INDIGO,INTERGLOBE AVIATION LIMITED
SBILIFE,SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED
PFC,PFC,POWER FINANCE CORPORATION LIMITED
ABB,ABB,ABB INDIA LIMITED
TECHM,TECHM,TECH MAHINDRA LIMITED
PIDILITIND,PIDILITIN,PIDILITE INDUSTRIES LIMITED
HINDALCO,HINDALCO,HINDALCO INDUSTRIES LIMITED
AMBUJACEM,AMBUJACEM,AMBUJA CEMENTS LIMITED
HDFCLIFE,HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED
RECLTD,RECLTD,REC LIMITED
DIVISLAB,DIVISLAB,DIVI'S LABORATORIES LIMITED
GAIL,GAIL,GAIL (INDIA) LIMITED
BPCL,BPCL,BHARAT PETROLEUM CORPORATION LIMITED
TATAPOWER,TATAPOWER,TATA POWER COMPANY LIMITED
GODREJCP,GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED
BRITANNIA,BRITANNIA,BRITANNIA INDUSTRIES LIMITED
EICHERMOT,EICHERMOT,EICHER MOTORS LIMITED
MOTHERSON,MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED
LODHA,LODHA,MACROTECH DEVELOPERS LIMITED
BANKBARODA,BANKBAROD,BANK OF BARODA
CIPLA,CIPLA,CIPLA LIMITED
JSWENERGY,JSWENERGY,JSW ENERGY LIMITED
TVSMOTOR,TVSMOTOR,TVS MOTOR COMPANY LIMITED
PNB,PNB,PUNJAB NATIONAL BANK
SHRIRAMFIN,SHRIRAMFI,SHRIRAM FINANCE LIMITED
